,시가,고가,저가,종가,등락률,기관,프로그램
627,46850.0,47150.0,46600.0,46800.0,-2.4,764241.0,-2579244.0
628,47450.0,48500.0,47000.0,47950.0,2.02,-486406.0,-4209.0
629,45900.0,47300.0,45900.0,47000.0,0.75,2042042.0,-432950.0
630,47050.0,47050.0,46150.0,46650.0,-1.27,-46631.0,-556158.0
631,47000.0,47250.0,46200.0,47250.0,0.43,-392974.0,-496065.0
632,47900.0,47900.0,47050.0,47050.0,0.11,-1251387.0,-1208430.0
633,47450.0,47600.0,46850.0,47000.0,0.0,224445.0,-1119455.0
634,47200.0,47350.0,46500.0,47000.0,0.86,1060321.0,-801359.0
635,47600.0,47650.0,46200.0,46600.0,-2.2,2764748.0,-1554769.0
636,48500.0,48700.0,47650.0,47650.0,-1.14,1424010.0,-3933277.0
637,49000.0,49000.0,48200.0,48200.0,-2.43,990562.0,-1639134.0
638,49700.0,49800.0,49250.0,49400.0,-1.0,-606408.0,-108693.0
639,49750.0,50300.0,49350.0,49900.0,0.5,706218.0,798615.0
640,50200.0,50400.0,49600.0,49650.0,-1.88,-5642790.0,-757713.0
641,51800.0,51800.0,50500.0,50600.0,-1.36,-913940.0,1246771.0
642,51100.0,51400.0,50400.0,51300.0,0.39,-962124.0,1173108.0
643,50800.0,51200.0,50700.0,51100.0,-0.39,-439052.0,2203320.0
644,50500.0,51700.0,49950.0,51300.0,1.18,-540644.0,1911722.0
645,50400.0,50800.0,49850.0,50700.0,2.42,-23615580.0,2170673.0
646,51300.0,51500.0,49100.0,49500.0,-3.51,-3692779.0,-3447819.0
647,52200.0,52500.0,51300.0,51300.0,-1.91,-1278312.0,-1075647.0
648,52500.0,53000.0,52000.0,52300.0,-0.76,310922.0,318269.0
649,51000.0,52800.0,50800.0,52700.0,2.53,743664.0,2423102.0
650,52000.0,52000.0,51100.0,51400.0,-0.77,-1620133.0,-450588.0
651,50600.0,52000.0,50400.0,51800.0,3.6,532182.0,-721654.0
652,49650.0,50200.0,49100.0,50000.0,1.01,356815.0,-598474.0
653,49900.0,49900.0,49350.0,49500.0,0.2,112622.0,-1030440.0
654,50300.0,50500.0,49400.0,49400.0,-0.9,751607.0,-1138711.0
655,49200.0,50200.0,49150.0,49850.0,1.32,1329444.0,1395579.0
656,50200.0,50400.0,49100.0,49200.0,-1.8,-1856711.0,508595.0
657,51000.0,51100.0,49900.0,50100.0,-2.34,-990390.0,-32588.0
658,52000.0,52200.0,51200.0,51300.0,-0.58,-495810.0,847176.0
659,51700.0,51700.0,50600.0,51600.0,1.38,224160.0,-721609.0
660,52600.0,52800.0,50900.0,50900.0,-3.23,-1198028.0,-663462.0
661,52600.0,53200.0,51900.0,52600.0,1.35,-1049663.0,-1441124.0
662,53000.0,53900.0,51800.0,51900.0,-2.08,-11260560.0,42607.0
